,song,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
50,better man (taylor's version) (from the vault),taylor swift,0.214,https://api.spotify.com/v1/audio-analysis/4OmFmE0fzcMG6g0Y8p4eSD,0.473,297013.0,0.579,4OmFmE0fzcMG6g0Y8p4eSD,0.0,4.0,0.0877,-5.824,1.0,0.0384,73.942,4.0,https://api.spotify.com/v1/tracks/4OmFmE0fzcMG6g0Y8p4eSD,audio_features,spotify:track:4OmFmE0fzcMG6g0Y8p4eSD,0.255
51,22 (taylor's version),taylor swift,0.000443,https://api.spotify.com/v1/audio-analysis/3yII7UwgLF6K5zW3xad3MP,0.642,230960.0,0.695,3yII7UwgLF6K5zW3xad3MP,1.02E-05,7.0,0.0753,-5.62,1.0,0.0281,103.984,4.0,https://api.spotify.com/v1/tracks/3yII7UwgLF6K5zW3xad3MP,audio_features,spotify:track:3yII7UwgLF6K5zW3xad3MP,0.642
52,doin' this,luke combs,0.18,https://api.spotify.com/v1/audio-analysis/4GyD3o5hWoyCuYpdlzZlRL,0.593,254181.0,0.552,4GyD3o5hWoyCuYpdlzZlRL,1.71E-05,1.0,0.11,-5.838,1.0,0.028,115.0,4.0,https://api.spotify.com/v1/tracks/4GyD3o5hWoyCuYpdlzZlRL,audio_features,spotify:track:4GyD3o5hWoyCuYpdlzZlRL,0.39
53,treacherous (taylor's version),taylor swift,0.0344,https://api.spotify.com/v1/audio-analysis/3S7HNKPakdwNEBFIVTL6dZ,0.645,242720.0,0.593,3S7HNKPakdwNEBFIVTL6dZ,0.000127,2.0,0.13,-6.506,1.0,0.0288,109.984,4.0,https://api.spotify.com/v1/tracks/3S7HNKPakdwNEBFIVTL6dZ,audio_features,spotify:track:3S7HNKPakdwNEBFIVTL6dZ,0.299
54,we are never ever getting back together (taylor's version),taylor swift,0.0317,https://api.spotify.com/v1/audio-analysis/5YqltLsjdqFtvqE7Nrysvs,0.567,193147.0,0.686,5YqltLsjdqFtvqE7Nrysvs,1.86E-06,7.0,0.0732,-6.139,1.0,0.175,172.014,4.0,https://api.spotify.com/v1/tracks/5YqltLsjdqFtvqE7Nrysvs,audio_features,spotify:track:5YqltLsjdqFtvqE7Nrysvs,0.716
55,no love (with sza),summer walker,0.17,https://api.spotify.com/v1/audio-analysis/08SB2OtZkaliju77WYEKxk,0.707,231498.0,0.618,08SB2OtZkaliju77WYEKxk,0.0,1.0,0.293,-5.825,0.0,0.19,133.876,4.0,https://api.spotify.com/v1/tracks/08SB2OtZkaliju77WYEKxk,audio_features,spotify:track:08SB2OtZkaliju77WYEKxk,0.517
56,wild side (feat. cardi b),normani,0.0249,https://api.spotify.com/v1/audio-analysis/2vXgyN14LX2zl7JEASw242,0.74,209476.0,0.576,2vXgyN14LX2zl7JEASw242,0.0,6.0,0.104,-6.744,0.0,0.146,110.095,4.0,https://api.spotify.com/v1/tracks/2vXgyN14LX2zl7JEASw242,audio_features,spotify:track:2vXgyN14LX2zl7JEASw242,0.315
57,have mercy,chlöe,0.297,https://api.spotify.com/v1/audio-analysis/5SixeLvPsYpk7qq9lo5xYg,0.903,148779.0,0.535,5SixeLvPsYpk7qq9lo5xYg,0.0,9.0,0.345,-6.434,1.0,0.0742,130.022,4.0,https://api.spotify.com/v1/tracks/5SixeLvPsYpk7qq9lo5xYg,audio_features,spotify:track:5SixeLvPsYpk7qq9lo5xYg,0.508
58,i almost do (taylor's version),taylor swift,0.0167,https://api.spotify.com/v1/audio-analysis/2r9CbjYgFhtAmcFv1cSquB,0.511,244587.0,0.559,2r9CbjYgFhtAmcFv1cSquB,0.0,4.0,0.113,-6.587,1.0,0.0264,145.88,4.0,https://api.spotify.com/v1/tracks/2r9CbjYgFhtAmcFv1cSquB,audio_features,spotify:track:2r9CbjYgFhtAmcFv1cSquB,0.248
59,chosen (feat. ty dolla $ign),blxst,0.336,https://api.spotify.com/v1/audio-analysis/1dIWPXMX4kRHj6Dt2DStUQ,0.571,161684.0,0.767,1dIWPXMX4kRHj6Dt2DStUQ,0.0,2.0,0.0809,-5.16,1.0,0.287,93.421,4.0,https://api.spotify.com/v1/tracks/1dIWPXMX4kRHj6Dt2DStUQ,audio_features,spotify:track:1dIWPXMX4kRHj6Dt2DStUQ,0.605
60,the very first night (taylor's version) (from the vault),taylor swift,0.00115,https://api.spotify.com/v1/audio-analysis/6pYNq0ZwpPVazKzsqpf0G8,0.678,200280.0,0.733,6pYNq0ZwpPVazKzsqpf0G8,0.0,7.0,0.104,-5.025,1.0,0.0281,121.009,4.0,https://api.spotify.com/v1/tracks/6pYNq0ZwpPVazKzsqpf0G8,audio_features,spotify:track:6pYNq0ZwpPVazKzsqpf0G8,0.581
61,family ties (with kendrick lamar),baby keem,0.00575,https://api.spotify.com/v1/audio-analysis/7Bpx2vsWfQFBACRz4h3IqH,0.711,252070.0,0.611,7Bpx2vsWfQFBACRz4h3IqH,0.0,1.0,0.231,-5.453,1.0,0.329,134.14,4.0,https://api.spotify.com/v1/tracks/7Bpx2vsWfQFBACRz4h3IqH,audio_features,spotify:track:7Bpx2vsWfQFBACRz4h3IqH,0.144
62,everything has changed (feat. ed sheeran) (taylor’s version),taylor swift,0.271,https://api.spotify.com/v1/audio-analysis/7qEUFOVcxRI19tbT68JcYK,0.498,245427.0,0.61,7qEUFOVcxRI19tbT68JcYK,0.0,6.0,0.223,-5.098,1.0,0.0363,79.918,4.0,https://api.spotify.com/v1/tracks/7qEUFOVcxRI19tbT68JcYK,audio_features,spotify:track:7qEUFOVcxRI19tbT68JcYK,0.474
63,sand in my boots,morgan wallen,0.59,https://api.spotify.com/v1/audio-analysis/0uRrG2jRR5tuifsYIJHEao,0.403,202133.0,0.537,0uRrG2jRR5tuifsYIJHEao,0.0,3.0,0.112,-6.628,1.0,0.031,69.877,4.0,https://api.spotify.com/v1/tracks/0uRrG2jRR5tuifsYIJHEao,audio_features,spotify:track:0uRrG2jRR5tuifsYIJHEao,0.414
64,gyalis,capella grey,0.386,https://api.spotify.com/v1/audio-analysis/7wpyrkjEgz7W1vNYDxMKrF,0.666,105377.0,0.643,7wpyrkjEgz7W1vNYDxMKrF,0.0,8.0,0.283,-7.01,1.0,0.423,96.375,4.0,https://api.spotify.com/v1/tracks/7wpyrkjEgz7W1vNYDxMKrF,audio_features,spotify:track:7wpyrkjEgz7W1vNYDxMKrF,0.756
65,the last time (feat. gary lightbody of snow patrol) (taylor’s version),taylor swift,0.0399,https://api.spotify.com/v1/audio-analysis/0y6kdSRCVQhSsHSpWvTUm7,0.502,299080.0,0.534,0y6kdSRCVQhSsHSpWvTUm7,0.0,2.0,0.0977,-5.954,1.0,0.0278,94.05,4.0,https://api.spotify.com/v1/tracks/0y6kdSRCVQhSsHSpWvTUm7,audio_features,spotify:track:0y6kdSRCVQhSsHSpWvTUm7,0.155
66,stay stay stay (taylor's version),taylor swift,0.0848,https://api.spotify.com/v1/audio-analysis/7eQj6r5PIdYKEIZjucBMcq,0.693,205787.0,0.681,7eQj6r5PIdYKEIZjucBMcq,0.0,0.0,0.0768,-7.039,1.0,0.025,100.02,4.0,https://api.spotify.com/v1/tracks/7eQj6r5PIdYKEIZjucBMcq,audio_features,spotify:track:7eQj6r5PIdYKEIZjucBMcq,0.663
67,after last night (with thundercat & bootsy collins),bruno mars,0.0297,https://api.spotify.com/v1/audio-analysis/0crw01bqnefvDUDjsuKraD,0.651,249444.0,0.703,0crw01bqnefvDUDjsuKraD,0.0,0.0,0.0608,-8.958,0.0,0.0816,140.051,4.0,https://api.spotify.com/v1/tracks/0crw01bqnefvDUDjsuKraD,audio_features,spotify:track:0crw01bqnefvDUDjsuKraD,0.647
68,babe (taylor's version) (from the vault),taylor swift,0.0538,https://api.spotify.com/v1/audio-analysis/0v4z1tuZvn6LGknom9Qx7d,0.584,224240.0,0.743,0v4z1tuZvn6LGknom9Qx7d,2.83E-06,4.0,0.121,-7.075,1.0,0.0931,167.844,4.0,https://api.spotify.com/v1/tracks/0v4z1tuZvn6LGknom9Qx7d,audio_features,spotify:track:0v4z1tuZvn6LGknom9Qx7d,0.746
69,sharing locations (feat. lil baby & lil durk),meek mill,0.00383,https://api.spotify.com/v1/audio-analysis/3J4VKkUpLvomXJbn9ZAypO,0.681,161053.0,0.63,3J4VKkUpLvomXJbn9ZAypO,0.0,1.0,0.139,-5.585,1.0,0.0385,151.951,4.0,https://api.spotify.com/v1/tracks/3J4VKkUpLvomXJbn9ZAypO,audio_features,spotify:track:3J4VKkUpLvomXJbn9ZAypO,0.183
70,escape plan,travis scott,0.00207,https://api.spotify.com/v1/audio-analysis/4R67rQNSbbsR4TdUVOIdez,0.839,149610.0,0.506,4R67rQNSbbsR4TdUVOIdez,0.0,5.0,0.13,-6.714,0.0,0.133,154.12,4.0,https://api.spotify.com/v1/tracks/4R67rQNSbbsR4TdUVOIdez,audio_features,spotify:track:4R67rQNSbbsR4TdUVOIdez,0.44
71,one mississippi,kane brown,0.00279,https://api.spotify.com/v1/audio-analysis/4FdPnT2cFrpWCmWZd7GXc3,0.471,213719.0,0.846,4FdPnT2cFrpWCmWZd7GXc3,2.86E-06,0.0,0.145,-5.269,1.0,0.0389,100.089,4.0,https://api.spotify.com/v1/tracks/4FdPnT2cFrpWCmWZd7GXc3,audio_features,spotify:track:4FdPnT2cFrpWCmWZd7GXc3,0.539
72,blast off,bruno mars,0.0363,https://api.spotify.com/v1/audio-analysis/5ywsqu9AEJnEJhJ05Vf9Me,0.482,284870.0,0.548,5ywsqu9AEJnEJhJ05Vf9Me,2.28E-06,11.0,0.3,-9.946,1.0,0.0373,76.017,4.0,https://api.spotify.com/v1/tracks/5ywsqu9AEJnEJhJ05Vf9Me,audio_features,spotify:track:5ywsqu9AEJnEJhJ05Vf9Me,0.346
73,knowing you,kenny chesney,0.229,https://api.spotify.com/v1/audio-analysis/2EEfUuBRZA4Ax1vYcluFS0,0.557,226267.0,0.565,2EEfUuBRZA4Ax1vYcluFS0,3.9E-06,7.0,0.119,-6.12,1.0,0.026,125.956,3.0,https://api.spotify.com/v1/tracks/2EEfUuBRZA4Ax1vYcluFS0,audio_features,spotify:track:2EEfUuBRZA4Ax1vYcluFS0,0.187
74,skate,bruno mars,0.037,https://api.spotify.com/v1/audio-analysis/4WnmTHCNN45jvQCrlbEWs0,0.708,203123.0,0.598,4WnmTHCNN45jvQCrlbEWs0,0.0,5.0,0.17,-8.365,1.0,0.0291,112.027,4.0,https://api.spotify.com/v1/tracks/4WnmTHCNN45jvQCrlbEWs0,audio_features,spotify:track:4WnmTHCNN45jvQCrlbEWs0,0.698
75,holy ground (taylor's version),taylor swift,0.0288,https://api.spotify.com/v1/audio-analysis/7J4b3LVCIGO4CMBDFLPoP6,0.622,202960.0,0.809,7J4b3LVCIGO4CMBDFLPoP6,0.00218,9.0,0.109,-5.623,1.0,0.0638,156.894,4.0,https://api.spotify.com/v1/tracks/7J4b3LVCIGO4CMBDFLPoP6,audio_features,spotify:track:7J4b3LVCIGO4CMBDFLPoP6,0.511
76,begin again (taylor's version),taylor swift,0.075,https://api.spotify.com/v1/audio-analysis/05GsNucq8Bngd9fnd4fRa0,0.519,238867.0,0.527,05GsNucq8Bngd9fnd4fRa0,0.0,7.0,0.132,-7.673,1.0,0.0274,78.915,4.0,https://api.spotify.com/v1/tracks/05GsNucq8Bngd9fnd4fRa0,audio_features,spotify:track:05GsNucq8Bngd9fnd4fRa0,0.267
77,put on a smile,bruno mars,0.0471,https://api.spotify.com/v1/audio-analysis/4bbJw6usZSqkcmnqjSIOWx,0.548,255455.0,0.627,4bbJw6usZSqkcmnqjSIOWx,0.0,9.0,0.285,-8.949,1.0,0.0409,143.994,4.0,https://api.spotify.com/v1/tracks/4bbJw6usZSqkcmnqjSIOWx,audio_features,spotify:track:4bbJw6usZSqkcmnqjSIOWx,0.493
78,forever winter (taylor's version) (from the vault),taylor swift,0.256,https://api.spotify.com/v1/audio-analysis/3oGVx9RBmiYGv5ZCecWLkx,0.611,263533.0,0.552,3oGVx9RBmiYGv5ZCecWLkx,0.0,7.0,0.134,-5.828,1.0,0.031,116.012,4.0,https://api.spotify.com/v1/tracks/3oGVx9RBmiYGv5ZCecWLkx,audio_features,spotify:track:3oGVx9RBmiYGv5ZCecWLkx,0.41
79,whiskey and rain,michael ray,0.508,https://api.spotify.com/v1/audio-analysis/1tf4Bfk8JIKryLpWYRvyiI,0.653,206507.0,0.623,1tf4Bfk8JIKryLpWYRvyiI,3.32E-06,8.0,0.285,-4.56,1.0,0.0244,100.021,4.0,https://api.spotify.com/v1/tracks/1tf4Bfk8JIKryLpWYRvyiI,audio_features,spotify:track:1tf4Bfk8JIKryLpWYRvyiI,0.718
80,fly as me,bruno mars,0.00756,https://api.spotify.com/v1/audio-analysis/7GuP2hQO9oprADjY3gRhCT,0.783,219389.0,0.627,7GuP2hQO9oprADjY3gRhCT,0.0,2.0,0.0606,-8.521,1.0,0.102,100.025,4.0,https://api.spotify.com/v1/tracks/7GuP2hQO9oprADjY3gRhCT,audio_features,spotify:track:7GuP2hQO9oprADjY3gRhCT,0.48
81,super gremlin,kodak black,0.00265,https://api.spotify.com/v1/audio-analysis/4A8cWXxKfIL3lAyUDzXbCF,0.825,200548.0,0.414,4A8cWXxKfIL3lAyUDzXbCF,0.0,2.0,0.357,-6.634,1.0,0.144,72.993,4.0,https://api.spotify.com/v1/tracks/4A8cWXxKfIL3lAyUDzXbCF,audio_features,spotify:track:4A8cWXxKfIL3lAyUDzXbCF,0.106
82,the moment i knew (taylor's version),taylor swift,0.0494,https://api.spotify.com/v1/audio-analysis/0NRHj8hDwwmSPaA41o379r,0.636,285280.0,0.402,0NRHj8hDwwmSPaA41o379r,0.0,7.0,0.107,-7.855,1.0,0.031,125.952,4.0,https://api.spotify.com/v1/tracks/0NRHj8hDwwmSPaA41o379r,audio_features,spotify:track:0NRHj8hDwwmSPaA41o379r,0.208
83,the lucky one (taylor's version),taylor swift,0.066,https://api.spotify.com/v1/audio-analysis/4e5ayHsOLJNLTGfjau2mEw,0.686,240467.0,0.571,4e5ayHsOLJNLTGfjau2mEw,0.0,4.0,0.0608,-7.138,1.0,0.05,117.889,4.0,https://api.spotify.com/v1/tracks/4e5ayHsOLJNLTGfjau2mEw,audio_features,spotify:track:4e5ayHsOLJNLTGfjau2mEw,0.538
84,sad beautiful tragic (taylor's version),taylor swift,0.622,https://api.spotify.com/v1/audio-analysis/73qMN9bXy7MSPwwGfH3wQr,0.601,284773.0,0.406,73qMN9bXy7MSPwwGfH3wQr,9.19E-05,7.0,0.133,-11.827,1.0,0.0275,130.059,3.0,https://api.spotify.com/v1/tracks/73qMN9bXy7MSPwwGfH3wQr,audio_features,spotify:track:73qMN9bXy7MSPwwGfH3wQr,0.232
85,fair trade (with travis scott),drake,0.0503,https://api.spotify.com/v1/audio-analysis/40iJIUlhi6renaREYGeIDS,0.666,291175.0,0.465,40iJIUlhi6renaREYGeIDS,0.0,1.0,0.215,-8.545,1.0,0.26,167.937,4.0,https://api.spotify.com/v1/tracks/40iJIUlhi6renaREYGeIDS,audio_features,spotify:track:40iJIUlhi6renaREYGeIDS,0.292
86,come back...be here (taylor's version),taylor swift,0.0158,https://api.spotify.com/v1/audio-analysis/4pNApnaUWAL2J4KO2eqokq,0.46,223333.0,0.632,4pNApnaUWAL2J4KO2eqokq,0.0,4.0,0.0822,-6.031,1.0,0.0302,79.846,4.0,https://api.spotify.com/v1/tracks/4pNApnaUWAL2J4KO2eqokq,audio_features,spotify:track:4pNApnaUWAL2J4KO2eqokq,0.399
87,sad girlz luv money remix (feat. kali uchis and moliy),amaarae,0.434,https://api.spotify.com/v1/audio-analysis/15HMh4yxdf4wyxSZSlOgGZ,0.859,204764.0,0.525,15HMh4yxdf4wyxSZSlOgGZ,2.34E-05,1.0,0.108,-8.051,0.0,0.0592,110.066,4.0,https://api.spotify.com/v1/tracks/15HMh4yxdf4wyxSZSlOgGZ,audio_features,spotify:track:15HMh4yxdf4wyxSZSlOgGZ,0.312
88,tequila little time,jon pardi,0.0375,https://api.spotify.com/v1/audio-analysis/15npbUjCgwt2lRvyrJvyxw,0.757,207161.0,0.705,15npbUjCgwt2lRvyrJvyxw,5.8E-06,2.0,0.114,-5.084,1.0,0.0252,104.972,4.0,https://api.spotify.com/v1/tracks/15npbUjCgwt2lRvyrJvyxw,audio_features,spotify:track:15npbUjCgwt2lRvyrJvyxw,0.855
89,starlight (taylor's version),taylor swift,0.00324,https://api.spotify.com/v1/audio-analysis/7A2cNLRT0YJc1yjxHlKihs,0.628,220413.0,0.685,7A2cNLRT0YJc1yjxHlKihs,0.0,4.0,0.18,-5.864,1.0,0.0358,126.014,4.0,https://api.spotify.com/v1/tracks/7A2cNLRT0YJc1yjxHlKihs,audio_features,spotify:track:7A2cNLRT0YJc1yjxHlKihs,0.605
90,bubbly (with drake & travis scott),young thug,0.0536,https://api.spotify.com/v1/audio-analysis/4KDNRh9Oor80z3XIxdWlui,0.91,165067.0,0.585,4KDNRh9Oor80z3XIxdWlui,0.0,11.0,0.127,-7.572,0.0,0.257,129.011,4.0,https://api.spotify.com/v1/tracks/4KDNRh9Oor80z3XIxdWlui,audio_features,spotify:track:4KDNRh9Oor80z3XIxdWlui,0.599
91,ex for a reason (with jt from city girls),summer walker,0.239,https://api.spotify.com/v1/audio-analysis/1De7cOMrdUnVpjWBaowMg4,0.726,225502.0,0.728,1De7cOMrdUnVpjWBaowMg4,0.0,11.0,0.177,-5.775,0.0,0.0408,115.047,4.0,https://api.spotify.com/v1/tracks/1De7cOMrdUnVpjWBaowMg4,audio_features,spotify:track:1De7cOMrdUnVpjWBaowMg4,0.566
92,freedom was a highway,jimmie allen,0.0891,https://api.spotify.com/v1/audio-analysis/3J5jotqUAjU479WhAiNkpU,0.563,212720.0,0.847,3J5jotqUAjU479WhAiNkpU,0.0,1.0,0.121,-4.493,1.0,0.0468,96.06,4.0,https://api.spotify.com/v1/tracks/3J5jotqUAjU479WhAiNkpU,audio_features,spotify:track:3J5jotqUAjU479WhAiNkpU,0.666
93,la fama (with the weeknd),rosalía,0.946,https://api.spotify.com/v1/audio-analysis/6dmXZ9B5HdFAyzHeTneYBK,0.77,188103.0,0.302,6dmXZ9B5HdFAyzHeTneYBK,3.38E-05,0.0,0.125,-7.911,0.0,0.0466,136.01,4.0,https://api.spotify.com/v1/tracks/6dmXZ9B5HdFAyzHeTneYBK,audio_features,spotify:track:6dmXZ9B5HdFAyzHeTneYBK,0.821
94,big energy,latto,0.0514,https://api.spotify.com/v1/audio-analysis/6Zu3aw7FfjAF9WA0fA81Oq,0.935,173182.0,0.807,6Zu3aw7FfjAF9WA0fA81Oq,0.0,11.0,0.349,-3.838,0.0,0.114,106.017,4.0,https://api.spotify.com/v1/tracks/6Zu3aw7FfjAF9WA0fA81Oq,audio_features,spotify:track:6Zu3aw7FfjAF9WA0fA81Oq,0.813
95,moth to a flame (with the weeknd),swedish house mafia,0.00279,https://api.spotify.com/v1/audio-analysis/2gpWyfu7eZ01zzncHpxOtA,0.542,234000.0,0.659,2gpWyfu7eZ01zzncHpxOtA,0.0,8.0,0.105,-7.289,1.0,0.0389,120.122,4.0,https://api.spotify.com/v1/tracks/2gpWyfu7eZ01zzncHpxOtA,audio_features,spotify:track:2gpWyfu7eZ01zzncHpxOtA,0.109
96,'til you can't,cody johnson,0.0513,https://api.spotify.com/v1/audio-analysis/4k3lPl8YTKuY8c1HelVnm3,0.501,224213.0,0.815,4k3lPl8YTKuY8c1HelVnm3,0.0,1.0,0.106,-4.865,1.0,0.0436,160.087,4.0,https://api.spotify.com/v1/tracks/4k3lPl8YTKuY8c1HelVnm3,audio_features,spotify:track:4k3lPl8YTKuY8c1HelVnm3,0.46
97,woman,doja cat,0.0888,https://api.spotify.com/v1/audio-analysis/6Uj1ctrBOjOas8xZXGqKk4,0.824,172627.0,0.764,6Uj1ctrBOjOas8xZXGqKk4,0.00294,5.0,0.117,-4.175,0.0,0.0854,107.998,4.0,https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4,audio_features,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,0.881
98,take my breath,the weeknd,0.0107,https://api.spotify.com/v1/audio-analysis/6OGogr19zPTM4BALXuMQpF,0.748,220196.0,0.74,6OGogr19zPTM4BALXuMQpF,2.18E-05,8.0,0.101,-6.01,1.0,0.0484,121.004,4.0,https://api.spotify.com/v1/tracks/6OGogr19zPTM4BALXuMQpF,audio_features,spotify:track:6OGogr19zPTM4BALXuMQpF,0.518
99,for tonight,giveon,0.0699,https://api.spotify.com/v1/audio-analysis/61Emqg95O9zo1GNOcyxq4Y,0.442,193822.0,0.517,61Emqg95O9zo1GNOcyxq4Y,0.0,9.0,0.114,-7.807,1.0,0.0548,79.867,4.0,https://api.spotify.com/v1/tracks/61Emqg95O9zo1GNOcyxq4Y,audio_features,spotify:track:61Emqg95O9zo1GNOcyxq4Y,0.2
100,copycat - sofi tukker remix,billie eilish,0.0585,https://api.spotify.com/v1/audio-analysis/2njUxZ4151DWIrfIK3loFj,0.682,198684.0,0.955,2njUxZ4151DWIrfIK3loFj,3.18E-05,4.0,0.226,-5.02,0.0,0.0591,124.999,4.0,https://api.spotify.com/v1/tracks/2njUxZ4151DWIrfIK3loFj,audio_features,spotify:track:2njUxZ4151DWIrfIK3loFj,0.451